threshold,accuracy,sensitivity,specificity,f1,roc_auc,sens_minus_spec
0.43,0.7523510971786834,0.8188405797101449,0.7016574585635359,0.740983606557377,0.8389783009047964,0.117183121146609
0.435,0.7554858934169278,0.8188405797101449,0.7071823204419889,0.743421052631579,0.8389783009047964,0.11165825926815598
0.44,0.7586206896551724,0.8188405797101449,0.712707182320442,0.7458745874587459,0.8389783009047964,0.10613339738970295
0.445,0.7586206896551724,0.8188405797101449,0.712707182320442,0.7458745874587459,0.8389783009047964,0.10613339738970295
0.45,0.7554858934169278,0.8115942028985508,0.712707182320442,0.7417218543046358,0.8389783009047964,0.09888702057810883
0.455,0.7554858934169278,0.8115942028985508,0.712707182320442,0.7417218543046358,0.8389783009047964,0.09888702057810883
0.46,0.7492163009404389,0.7971014492753623,0.712707182320442,0.7333333333333333,0.8389783009047964,0.08439426695492036
0.465,0.7523510971786834,0.782608695652174,0.7292817679558011,0.7322033898305085,0.8389783009047964,0.05332692769637282
0.47,0.7492163009404389,0.7753623188405797,0.7292817679558011,0.7278911564625851,0.8389783009047964,0.04608055088477858
0.475,0.7492163009404389,0.7753623188405797,0.7292817679558011,0.7278911564625851,0.8389783009047964,0.04608055088477858
0.48,0.7460815047021944,0.7608695652173914,0.7348066298342542,0.7216494845360825,0.8389783009047964,0.026062935383137198
0.485,0.7429467084639498,0.7463768115942029,0.7403314917127072,0.7152777777777778,0.8389783009047964,0.006045319881495703
0.49,0.7398119122257053,0.7391304347826086,0.7403314917127072,0.710801393728223,0.8389783009047964,-0.0012010569300985319
0.495,0.7492163009404389,0.7318840579710145,0.7624309392265194,0.7163120567375887,0.8389783009047964,-0.030546881255504865
0.5,0.7523510971786834,0.7246376811594203,0.7734806629834254,0.7168458781362007,0.8389783009047964,-0.04884298182400515
0.505,0.7523510971786834,0.717391304347826,0.7790055248618785,0.7148014440433214,0.8389783009047964,-0.06161422051405241
0.51,0.7523510971786834,0.717391304347826,0.7790055248618785,0.7148014440433214,0.8389783009047964,-0.06161422051405241
0.515,0.7492163009404389,0.7028985507246377,0.7845303867403315,0.708029197080292,0.8389783009047964,-0.08163183601569379
0.52,0.7492163009404389,0.6956521739130435,0.7900552486187845,0.7058823529411765,0.8389783009047964,-0.09440307470574105
0.525,0.7492163009404389,0.6884057971014492,0.7955801104972375,0.7037037037037037,0.8389783009047964,-0.10717431339578831
0.53,0.7429467084639498,0.6739130434782609,0.7955801104972375,0.6940298507462687,0.8389783009047964,-0.12166706701897667
0.535,0.7398119122257053,0.6666666666666666,0.7955801104972375,0.6891385767790262,0.8389783009047964,-0.1289134438305709
0.54,0.7366771159874608,0.6594202898550725,0.7955801104972375,0.6842105263157895,0.8389783009047964,-0.13615982064216503
